game_id,team,game_state,team_state,pace,ortg,poss,fta_rate
0022500420,ORL,close,neutral,98.3,110.98,24.78,0.2706
0022500420,POR,close,neutral,100.94,104.58,25.34,0.2184
0022500418,PHX,close,neutral,94.8,139.24,23.7,0.2353
0022500418,LAL,close,neutral,96.76,111.62,24.19,0.358
0022500417,SAS,close,neutral,93.95,138.95,23.39,0.2857
0022500417,OKC,close,neutral,92.47,119.46,23.02,0.0824
0022500415,DEN,close,neutral,100.24,130.78,24.85,0.1149
0022500415,DAL,close,neutral,98.19,132.86,24.65,0.1613
0022500414,MIA,close,neutral,96.99,93.05,24.45,0.2439
0022500414,TOR,close,neutral,95.32,117.99,23.73,0.2093
0022500410,BKN,close,neutral,102.95,111.2,25.63,0.4024
0022500410,PHI,close,neutral,100.72,105.24,25.18,0.4691
0022500411,ATL,close,neutral,108.8,113.05,27.2,0.2105
0022500411,CHI,close,neutral,110.32,114.21,27.58,0.3077
0022500416,MIN,close,neutral,104.12,110.45,26.03,0.2473
0022500416,NYK,close,neutral,106.16,97.56,26.65,0.1515
0022500413,IND,close,neutral,100.52,93.51,25.13,0.4074
0022500413,MIL,close,neutral,100.56,110.38,25.14,0.2927
0022500421,DET,close,neutral,106.76,127.92,26.58,0.2947
0022500421,SAC,close,neutral,101.86,124.17,25.57,0.4022
0022500409,CHA,close,neutral,94.88,132.8,23.72,0.2903
0022500409,WAS,close,neutral,96.32,114.59,23.78,0.2371
0022500419,UTA,close,neutral,106.4,119.81,26.71,0.4
0022500419,MEM,close,neutral,107.76,127.13,26.94,0.3295
0022500422,LAC,close,neutral,91.64,140.85,22.72,0.3506
0022500422,HOU,close,neutral,92.3,117.49,22.98,0.2093
0022500412,CLE,close,neutral,108.39,129.55,27.21,0.1048
0022500412,NOP,close,neutral,108.0,109.26,27.0,0.266
0022500406,OKC,close,neutral,104.6,114.25,26.04,0.1489
0022500406,MEM,close,neutral,103.26,98.92,26.03,0.2771
0022500408,DET,close,neutral,96.75,112.75,24.39,0.2376
0022500408,POR,close,neutral,101.5,100.08,25.48,0.5811
0022500402,CHA,close,neutral,106.56,123.36,26.75,0.266
0022500402,CLE,close,neutral,102.93,134.48,25.84,0.2184
0022500407,ORL,close,neutral,100.44,96.58,25.11,0.2989
0022500407,GSW,close,neutral,98.56,121.75,24.64,0.2697
0022500405,UTA,close,neutral,106.91,104.32,26.84,0.1979
0022500405,DEN,close,neutral,104.0,129.81,26.0,0.2717
